model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
gpt-4.1-mini,openai,0.0,coord_first,12,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,925.6164170074044,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,12,931,2793,4096,1.0,1.0,4025,65,0.001714,986.3057500042487,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,13,931,2793,4096,0.9,0.9,4025,65,0.001714,1326.6356670064852,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,14,1862,1862,4096,0.9,0.9,4035,65,0.001718,1054.908958991291,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,13,2793,931,4096,0.9,0.9,4049,65,0.0017236,1359.038333001081,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,9,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,1390.216583997244,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,14,931,2793,4096,0.9,0.9,4025,65,0.001714,1243.2326249981998,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,reason_first,13,2793,931,4096,0.9,0.9,4050,65,0.001724,2600.2887500071665,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,13,931,2793,4096,0.9,0.9,4025,65,0.001714,1117.3407919995952,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,reason_first,14,2793,931,4096,1.0,1.0,4050,65,0.001724,1438.0546659958782,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,14,931,2793,4096,0.9,0.9,4025,518,0.0024388,6166.93579099956,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,10,0,3724,4096,0.8,0.8,4016,65,0.0017104000000000002,1183.4182079910534,1,1,1,0,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,12,3351,373,4096,0.9,0.9,4055,65,0.001726,1225.377708004089,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,15,931,2793,4096,0.9,0.9,4025,65,0.001714,1274.5720419916324,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,13,3351,373,4096,1.0,1.0,4055,65,0.001726,1287.584167002933,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,15,931,2793,4096,0.9,0.9,4025,429,0.0022964,5718.14333301154,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,13,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,1087.2238329902757,1,1,1,0,1,1,1,1,1,1
