model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,14,931,2793,4096,0.9,0.9,4370,515,0.005556,6015.57508300175,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,10,2793,931,4096,0.0,0.0,4607,343,0.005057600000000001,4878.546082996763,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,13,931,2793,4096,0.8,0.8,4370,479,0.005412,5667.232124993461,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,10,1862,1862,4096,0.9,0.9,4497,501,0.0056016,6132.070457999362,1,1,1,1,1,0,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,10,2793,931,4096,0.9,0.9,4607,498,0.0056776000000000005,12487.517499990645,1,1,1,1,1,0,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,11,2793,931,4096,0.9,0.9,4607,650,0.0062856000000000006,8487.981875005062,1,1,1,1,1,0,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,12,2793,931,4096,0.8,0.8,4607,546,0.0058696,6669.089916002122,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,12,0,3724,4096,0.9,0.9,4247,402,0.005005600000000001,3847.2670409973944,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,11,2793,931,4096,0.0,0.0,4607,499,0.0056816,7316.438709007343,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,9,3351,373,4096,0.7,0.7,4693,508,0.0057864,5737.663958003395,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,14,931,2793,4096,0.8,0.8,4370,465,0.005356,5265.4115420009475,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,13,0,3724,4096,0.9,0.9,4247,440,0.0051576,4096.903665995342,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,10,0,3724,4096,0.8,0.8,4247,403,0.0050096,3956.3829160033492,1,1,1,0,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,15,931,2793,4096,0.2,0.2,4370,773,0.006588,9122.767875000136,0,0,1,0,0,0,0,1,0,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,11,1862,1862,4096,0.8,0.8,4497,470,0.0054776,4808.609166997485,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,13,2793,931,4096,0.7,0.7,4607,533,0.0058176,6872.952041987446,1,0,1,1,1,0,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,16,931,2793,4096,0.0,0.0,4370,441,0.00526,5772.627292011748,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,12,2793,931,4096,0.0,0.0,4607,457,0.0055136000000000004,5981.376707990421,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,12,1862,1862,4096,0.0,0.0,4497,508,0.0056296,5946.447166003054,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,15,1862,1862,4096,0.8,0.8,4497,537,0.0057456,6536.589082999853,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,10,3351,373,4096,0.0,0.0,4693,624,0.0062504,7693.965875005233,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,14,2793,931,4096,0.9,0.9,4607,574,0.0059816,6889.0647500084015,1,1,1,1,1,0,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,15,2793,931,4096,0.8,0.8,4607,548,0.0058776,6238.836083008209,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,11,3351,373,4096,0.7,0.7,4693,510,0.0057944,5658.673249999993,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,17,931,2793,4096,0.8,0.8,4370,496,0.00548,6169.251915998757,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,11,0,3724,4096,1.0,1.0,4247,425,0.005097600000000001,3945.549415991991,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,13,1862,1862,4096,0.9,0.9,4497,569,0.0058736000000000005,6650.167792002321,1,1,1,1,1,0,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,15,931,2793,4096,0.7,0.7,4370,515,0.005556,6323.0175000062445,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,12,3351,373,4096,0.8,0.8,4693,482,0.0056824,5129.039499995997,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,13,2793,931,4096,0.9,0.9,4607,489,0.0056416,6100.558541002101,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,12,0,3724,4096,0.9,0.9,4247,392,0.004965600000000001,3708.584833002533,1,1,1,0,1,1,1,1,1,1
