model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.92,coord_first,13,3458,301,4096,0.7,0.75,4099,1024,0.003278,18822.634083999674,0,1,1,1,1,0,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,15,3533,226,4096,0.2,0.125,4098,858,0.003012,15209.23566600004,0,1,1,0,0,0,0,0,0,0
gpt-4.1-mini,openai,0.92,reason_first,16,3458,301,4096,0.5,0.625,4099,1024,0.003278,20457.38820800034,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,17,3458,301,4096,0.4,0.5,4099,1024,0.003278,23786.304124999788,0,0,1,1,1,0,0,0,0,1
gpt-4.1-mini,openai,0.92,reason_first,18,3458,301,4096,0.4,0.5,4099,1024,0.003278,16130.122416000177,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.96,reason_first,10,3608,151,4096,0.3,0.25,4096,1024,0.0032768000000000003,16594.529082999998,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.94,reason_first,11,3533,226,4096,0.4,0.5,4098,1024,0.0032776000000000003,16407.340917000056,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,reason_first,13,3683,76,4096,0.4,0.375,4098,1000,0.0032392,13401.76429200028,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,reason_first,12,3533,226,4096,0.3,0.375,4098,1024,0.0032776000000000003,20532.39979199998,0,0,0,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,19,3458,301,4096,0.5,0.625,4099,1024,0.003278,15462.144916999932,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.96,reason_first,11,3608,151,4096,0.5,0.5,4096,987,0.0032176,16548.337500000343,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,15,3683,76,4096,0.6,0.625,4098,971,0.0031928,21185.724334000042,0,1,1,0,0,1,1,1,0,1
gpt-4.1-mini,openai,0.98,reason_first,14,3683,76,4096,0.5,0.5,4098,1024,0.0032776000000000003,18883.078999999725,0,1,0,0,0,0,1,1,1,1
gpt-4.1-mini,openai,0.98,reason_first,15,3683,76,4096,0.3,0.25,4098,937,0.0031384,18282.452250000006,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.94,coord_first,16,3533,226,4096,0.3,0.375,4098,1024,0.0032776000000000003,16642.246082999918,0,0,1,1,0,0,0,0,0,1
gpt-4.1-mini,openai,0.94,reason_first,13,3533,226,4096,0.3,0.25,4098,1024,0.0032776000000000003,16545.254791999923,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.96,reason_first,12,3608,151,4096,0.4,0.375,4096,920,0.0031104,23346.66637500004,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,14,3458,301,4096,0.6,0.75,4099,1024,0.003278,18654.939332999675,0,0,1,1,1,0,1,1,0,1
gpt-4.1-mini,openai,0.96,reason_first,13,3608,151,4096,0.3,0.25,4096,1024,0.0032768000000000003,19599.349790999895,0,1,0,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,15,3458,301,4096,0.4,0.5,4099,1024,0.003278,18874.092208000093,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,reason_first,16,3683,76,4096,0.2,0.125,4098,1024,0.0032776000000000003,20693.067084000177,0,1,0,0,0,0,0,1,0,0
gpt-4.1-mini,openai,0.96,coord_first,14,3608,151,4096,0.3,0.25,4096,971,0.003192,19912.1438330003,0,1,0,0,0,1,0,1,0,0
gpt-4.1-mini,openai,0.94,reason_first,14,3533,226,4096,0.4,0.5,4098,1024,0.0032776000000000003,24272.64620899996,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,15,3608,151,4096,0.3,0.25,4096,992,0.0032256000000000003,20571.064666999973,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.92,coord_first,16,3458,301,4096,0.5,0.625,4099,1024,0.003278,16225.023375000092,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,16,3608,151,4096,0.6,0.625,4096,901,0.00308,21093.345583999962,0,1,1,0,0,1,1,0,1,1
gpt-4.1-mini,openai,0.98,coord_first,16,3683,76,4096,0.3,0.25,4098,1007,0.0032504,14608.251165999718,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.94,reason_first,15,3533,226,4096,0.5,0.5,4098,1024,0.0032776000000000003,20647.64174999982,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,17,3608,151,4096,0.3,0.25,4096,1024,0.0032768000000000003,13505.822583999816,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.96,reason_first,14,3608,151,4096,0.2,0.125,4096,1024,0.0032768000000000003,17588.915916999667,0,1,0,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.98,coord_first,17,3683,76,4096,0.2,0.125,4098,1011,0.0032568000000000002,14531.645333000142,0,1,0,0,0,0,0,0,1,0
gpt-4.1-mini,openai,0.98,coord_first,18,3683,76,4096,0.4,0.375,4098,910,0.0030951999999999998,13595.736875000057,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,reason_first,16,3533,226,4096,0.3,0.375,4098,1015,0.0032632,19350.926083000104,0,0,0,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,reason_first,17,3533,226,4096,0.1,0.125,4098,1024,0.0032776000000000003,15439.24083300044,0,0,0,0,0,0,0,1,0,0
gpt-4.1-mini,openai,0.96,coord_first,18,3608,151,4096,0.4,0.375,4096,970,0.0031904,16009.338667000065,0,1,1,0,0,0,1,0,0,1
gpt-4.1-mini,openai,0.96,reason_first,15,3608,151,4096,0.3,0.25,4096,972,0.0031936000000000004,17962.35737500001,0,1,0,0,0,1,0,0,0,1
gpt-4.1-mini,openai,0.98,reason_first,17,3683,76,4096,0.3,0.25,4098,1004,0.0032456000000000004,17628.12404200031,0,1,0,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,19,3683,76,4096,0.4,0.375,4098,1012,0.0032584000000000003,14162.420625000323,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,reason_first,18,3533,226,4096,0.5,0.5,4098,1024,0.0032776000000000003,17864.206290999846,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,17,3533,226,4096,0.3,0.375,4098,903,0.003084,13056.5242079997,0,0,1,1,0,0,0,0,0,1
gpt-4.1-mini,openai,0.94,reason_first,19,3533,226,4096,0.4,0.5,4098,1024,0.0032776000000000003,17581.291167000018,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,reason_first,18,3683,76,4096,0.3,0.25,4098,952,0.0031624,14436.084291000043,0,1,0,0,0,0,1,0,0,1
gpt-4.1-mini,openai,0.92,coord_first,17,3458,301,4096,0.7,0.75,4099,1024,0.003278,13982.58712500001,0,1,1,1,1,0,1,1,0,1
gpt-4.1-mini,openai,0.96,reason_first,16,3608,151,4096,0.3,0.25,4096,1024,0.0032768000000000003,20929.616625000108,0,1,1,0,0,0,0,1,0,0
gpt-4.1-mini,openai,0.94,coord_first,18,3533,226,4096,0.4,0.5,4098,1017,0.0032664,14375.411417000123,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,18,3458,301,4096,0.4,0.375,4099,1024,0.003278,16022.457916999883,0,1,1,1,0,0,0,1,0,0
gpt-4.1-mini,openai,0.94,coord_first,19,3533,226,4096,0.3,0.375,4098,952,0.0031624,16499.621583000135,0,0,1,1,0,0,0,1,0,0
gpt-4.1-mini,openai,0.92,coord_first,19,3458,301,4096,0.5,0.625,4099,1024,0.003278,20151.214208000056,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.96,reason_first,17,3608,151,4096,0.2,0.125,4096,1024,0.0032768000000000003,24741.444874999615,0,1,0,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.96,reason_first,18,3608,151,4096,0.3,0.25,4096,1024,0.0032768000000000003,17411.04812499998,0,1,0,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,19,3608,151,4096,0.3,0.25,4096,1024,0.0032768000000000003,23879.237832999934,0,1,0,0,0,0,1,0,1,0
gpt-4.1-mini,openai,0.96,reason_first,19,3608,151,4096,0.2,0.125,4096,1024,0.0032768000000000003,16738.235999999233,0,1,0,0,0,0,0,0,0,1
